player,player_key,pos,team,adp_avg,market_rank,uncapped_model_rank,model_rank,fair_adp,actionable_adp,value_gap,forecast_points,forecast_ppg,forecast_games,model_value,position_rank,edge_probability,calibration_sample,confidence
kyren williams,kyrenwilliams,RB,LAR,29.8,30,25,22,22,28,8,175.4,12.7,13.9,40.099999999999994,14,0.28943729390490375,63,High
breece hall,breecehall,RB,NYJ,28.0,28,29,23,23,27,5,169.8,12.3,13.6,34.5,16,0.28943729390490375,63,High
jeremiyah love,jeremiyahlove,RB,ARI,30.0,31,31,24,24,29,7,169.2,12.1,13.5,33.89999999999998,17,0.28943729390490375,63,Rookie / no NFL history
javonte williams,javontewilliams,RB,DAL,36.2,37,27,25,25,34,12,171.0,12.3,13.9,35.69999999999999,15,0.5215027187345527,1,High
a.j. brown,ajbrown,WR,NE,19.0,19,32,26,26,21,-7,182.8,13.1,13.7,33.0,8,0.3314659197012138,56,High
rashee rice,rasheerice,WR,KC,13.4,14,33,27,27,17,-13,182.6,13.1,13.6,32.79999999999998,9,0.2770483193277311,16,High
trey mcbride,treymcbride,TE,ARI,42.9,42,21,28,28,38,14,143.8,10.9,13.8,45.900000000000006,2,0.4746218487394958,9,High
cam skattebo,camskattebo,RB,NYG,34.6,35,34,29,29,34,6,167.1,12.1,13.0,31.799999999999983,18,0.28943729390490375,63,Low
brock bowers,brockbowers,TE,LV,44.0,45,20,30,30,41,15,144.4,10.7,13.8,46.5,1,0.4746218487394958,9,Medium
nico collins,nicocollins,WR,HOU,22.9,22,36,31,31,24,-9,181.3,12.8,13.8,31.5,11,0.3314659197012138,56,High
drake maye,drakemaye,QB,NE,46.1,49,23,32,32,45,17,296.8,20.3,14.4,42.10000000000002,2,0.5388655462184874,32,Medium
emeka egbuka,emekaegbuka,WR,TB,33.1,34,37,33,33,34,1,181.3,12.3,14.6,31.5,10,0.24325519681556834,41,Low
chris olave,chrisolave,WR,NO,23.6,23,38,34,34,26,-11,179.1,12.5,14.2,29.299999999999983,12,0.3314659197012138,56,High
malik nabers,maliknabers,WR,NYG,29.4,29,40,35,35,30,-6,178.5,12.6,13.9,28.69999999999999,13,0.3314659197012138,56,Medium
lamar jackson,lamarjackson,QB,BAL,52.6,54,26,36,36,50,18,291.2,19.9,14.4,36.5,3,0.5388655462184874,32,High
george pickens,georgepickens,WR,DAL,19.4,20,41,37,37,24,-17,177.8,12.5,14.0,28.0,14,0.2770483193277311,16,High
joe burrow,joeburrow,QB,CIN,57.1,57,28,38,38,52,19,289.6,19.8,14.2,34.900000000000034,4,0.5388655462184874,32,High
zay flowers,zayflowers,WR,BAL,25.0,25,42,39,39,28,-14,177.6,12.3,14.2,27.799999999999983,15,0.2770483193277311,16,High
devonta smith,devontasmith,WR,PHI,31.2,33,43,40,40,35,-7,175.9,12.4,14.0,26.099999999999994,16,0.3314659197012138,56,High
travis etienne jr.,travisetienne,RB,NO,41.5,41,44,41,41,41,0,161.2,11.6,13.7,25.899999999999977,19,0.28943729390490375,63,High
d'andre swift,dandreswift,RB,CHI,43.4,44,45,42,42,44,2,160.3,11.6,13.7,25.0,20,0.28943729390490375,63,High
colston loveland,colstonloveland,TE,CHI,63.9,65,30,43,43,60,22,132.3,9.5,13.6,34.400000000000006,3,0.5955182072829132,14,Low
dak prescott,dakprescott,QB,DAL,67.1,67,39,44,44,61,23,283.5,19.4,14.3,28.80000000000001,5,0.5388655462184874,32,High
tetairoa mcmillan,tetairoamcmillan,WR,CAR,35.9,36,46,45,45,38,-9,173.9,11.9,14.5,24.099999999999994,17,0.3314659197012138,56,Low
tyler warren,tylerwarren,TE,IND,70.6,70,35,46,46,64,24,129.6,9.5,13.6,31.69999999999999,4,0.6543564794338789,22,Low
quinshon judkins,quinshonjudkins,RB,CLE,50.0,52,47,47,47,51,5,159.0,11.5,14.0,23.69999999999999,21,0.5842807711319822,18,Low
jayden daniels,jaydendaniels,QB,WAS,71.9,73,48,48,48,67,25,277.3,19.0,14.1,22.600000000000023,6,0.5215027187345527,1,Medium
ladd mcconkey,laddmcconkey,WR,LAC,44.2,46,49,49,49,47,-3,171.7,11.8,14.3,21.899999999999977,18,0.3314659197012138,56,Medium
bucky irving,buckyirving,RB,TB,45.9,48,51,50,50,48,-2,156.7,11.3,13.4,21.399999999999977,22,0.33613445378151263,55,Medium
bhayshul tuten,bhayshultuten,RB,JAX,52.3,53,52,51,51,52,2,156.6,11.3,14.0,21.299999999999983,23,0.5842807711319822,18,Low
jalen hurts,jalenhurts,QB,PHI,75.7,77,54,52,52,71,25,275.5,18.8,14.2,20.80000000000001,7,0.5215027187345527,1,High
david montgomery,davidmontgomery,RB,HOU,61.1,61,56,53,53,59,8,154.2,11.1,14.0,18.899999999999977,24,0.5842807711319822,18,High
kyle pitts sr.,kylepitts,TE,ATL,81.8,83,50,54,54,76,29,119.7,8.7,13.6,21.799999999999997,5,0.6543564794338789,22,High
matthew stafford,matthewstafford,QB,LAR,75.9,78,58,55,55,72,23,272.7,18.7,14.3,18.0,8,0.5388655462184874,32,High
harold fannin jr.,haroldfannin,TE,CLE,83.9,86,53,56,56,78,30,119.0,8.7,13.5,21.099999999999994,6,0.6543564794338789,22,Low
garrett wilson,garrettwilson,WR,NYJ,31.0,32,59,57,57,38,-25,167.7,12.0,13.7,17.899999999999977,19,0.3419802703690172,7,High
treveyon henderson,treveyonhenderson,RB,NE,58.0,59,60,58,58,59,1,151.1,11.0,13.9,15.799999999999983,25,0.5842807711319822,18,Low
rome odunze,romeodunze,WR,CHI,44.8,47,61,59,59,50,-12,162.1,11.3,14.3,12.299999999999983,20,0.3314659197012138,56,Medium
jadarian price,jadarianprice,RB,SEA,72.0,74,62,60,60,70,14,147.5,10.4,13.9,12.199999999999989,26,0.6610644257703081,8,Rookie / no NFL history
tee higgins,teehiggins,WR,CIN,36.9,38,63,61,61,44,-23,161.4,11.6,13.6,11.599999999999994,21,0.2770483193277311,16,High
sam laporta,samlaporta,TE,DET,92.3,95,55,62,62,87,33,118.5,8.6,13.5,20.599999999999994,7,0.6543564794338789,22,High
brock purdy,brockpurdy,QB,SF,81.3,81,66,63,63,76,18,265.2,18.4,14.1,10.5,9,0.5388655462184874,32,High
dj moore,djmoore,WR,BUF,48.8,50,67,64,64,54,-14,159.2,11.4,13.8,9.399999999999977,22,0.39303221288515405,32,High
trevor lawrence,trevorlawrence,QB,JAX,90.2,92,68,65,65,85,27,264.0,18.0,14.1,9.300000000000011,10,0.5215027187345527,1,High
jaylen waddle,jaylenwaddle,WR,DEN,49.6,51,69,66,66,55,-15,159.1,11.3,14.0,9.299999999999983,23,0.39303221288515405,32,High
tucker kraft,tuckerkraft,TE,GB,99.8,102,57,67,67,93,35,116.7,8.5,13.6,18.799999999999997,8,0.6543564794338789,22,High
jameson williams,jamesonwilliams,WR,DET,40.4,40,70,68,68,47,-28,158.1,11.1,13.9,8.299999999999983,24,0.3419802703690172,7,High
carnell tate,carnelltate,WR,TEN,74.8,75,72,69,69,74,6,156.7,10.2,15.4,6.899999999999977,25,0.4781835811247576,36,Rookie / no NFL history
patrick mahomes,patrickmahomes,QB,KC,99.5,101,74,70,70,93,31,260.0,17.9,14.0,5.300000000000011,11,0.5215027187345527,1,High
